Ticker,Company name,Segment,Segment Number,CIQ Formula,Currency,1/1/2010,4/1/2010,7/1/2010,10/1/2010,1/1/2011,4/1/2011,7/1/2011,10/1/2011,1/1/2012,4/1/2012,7/1/2012,10/1/2012,1/1/2013,4/1/2013,7/1/2013,10/1/2013,1/1/2014,4/1/2014,7/1/2014,10/1/2014,1/1/2015,4/1/2015,7/1/2015,10/1/2015,1/1/2016,4/1/2016,7/1/2016,10/1/2016,1/1/2017,4/1/2017,7/1/2017,10/1/2017,1/1/2018,4/1/2018,7/1/2018,10/1/2018,1/1/2019,4/1/2019,7/1/2019,10/1/2019,1/1/2020,4/1/2020,7/1/2020,10/1/2020,1/1/2021,4/1/2021,7/1/2021,10/1/2021,1/1/2022,4/1/2022,7/1/2022,10/1/2022,1/1/2023,4/1/2023,7/1/2023
SWX:ABBN,ABB,Process Automation,3,IQ_BUS_SEG_OPER_INC_ABS,USD,159.0,189.0,214.0,198.0,251.0,223.0,246.0,243.0,234.0,232.0,224.0,222.0,224.0,233.0,270.0,0.0,245.0,229.0,221.0,263.0,205.0,227.0,181.0,239.0,202.0,220.0,195.0,280.0,206.0,211.0,237.0,0.0,262.0,231.0,217.0,235.0,205.0,190.0,135.0,202.0,144.0,115.0,89.0,103.0,155.0,192.0,207.0,247.0,196.0,224.0,225.0,203.0,205.0,239.0,226.0
SWX:ABBN,ABB,Robotics & Discrete Automation,4,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,135.0,116.0,95.0,105.0,107.0,86.0,59.0,43.0,76.0,59.0,105.0,96.0,90.0,64.0,49.0,60.0,106.0,125.0,140.0,141.0,137.0
SWX:ABBN,ABB,"Corporate Costs, Intersegment Eliminations and Other",5,IQ_BUS_SEG_OPER_INC_ABS,USD,-102.0,-57.0,-76.0,-157.0,-153.0,-80.0,-120.0,-165.0,-131.0,-91.0,-114.0,-178.0,-129.0,-122.0,-137.0,0.0,-107.0,-141.0,-82.0,-206.0,-84.0,-115.0,-66.0,-117.0,-27.0,-83.0,-107.0,-169.0,-98.0,-109.0,-150.0,0.0,-225.0,-210.0,-111.0,-132.0,-67.0,-116.0,-101.0,-134.0,-83.0,-107.0,-64.0,-118.0,-79.0,-85.0,-27.0,-108.0,-32.0,-13.0,-52.0,-69.0,-83.0,-76.0,-70.0
ENXTPA:LR,Legrand,Electric Equipment,1,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENXTPA:LR,Legrand,Electric Equipment,1,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYSE:HUBB,Hubbell,Utility Solutions,1,IQ_BUS_SEG_OPER_INC_ABS,USD,25.6,32.4,33.7,27.4,26.0,35.9,43.8,36.1,37.9,43.3,44.4,42.5,36.1,43.2,47.1,40.1,36.7,48.2,50.2,44.4,42.8,54.7,54.1,50.0,46.9,55.9,55.8,54.5,55.0,60.4,61.7,54.4,63.5,79.0,82.9,72.2,64.8,91.3,94.6,74.8,81.0,93.1,111.3,0.0,60.7,72.9,79.6,70.9,102.1,125.3,144.1,108.9,190.8,213.1,200.7
NYSE:HUBB,Hubbell,Electrical Solutions,2,IQ_BUS_SEG_OPER_INC_ABS,USD,40.1,61.1,83.9,63.6,57.6,69.2,81.5,73.7,63.8,81.2,90.7,68.0,61.6,88.9,104.5,86.1,68.1,95.5,92.6,86.8,66.6,87.8,88.8,68.6,61.7,82.6,86.1,69.3,52.8,74.0,88.4,78.8,67.2,97.3,99.9,80.3,74.3,93.6,95.8,79.4,57.3,57.0,70.1,0.0,49.2,69.3,66.3,63.4,58.3,82.7,80.3,63.1,75.8,92.8,94.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Digital Industries,1,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,441.0,319.0,0.0,0.0,394.0,327.0,363.0,0.0,658.0,0.0,356.0,0.0,504.0,0.0,663.0,0.0,646.0,0.0,489.0,0.0,414.0,0.0,592.0,0.0,759.0,0.0,759.0,0.0,855.0,726.0,805.0,0.0,1055.0,1239.0,1058.0,1314.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Smart Infrastructure,2,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,178.0,0.0,336.0,0.0,269.0,0.0,238.0,0.0,379.0,0.0,413.0,0.0,465.0,431.0,548.0,0.0,675.0,754.0,744.0,797.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Mobility,3,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,142.0,142.0,0.0,0.0,176.0,136.0,139.0,0.0,146.0,0.0,162.0,0.0,230.0,0.0,167.0,0.0,217.0,0.0,200.0,0.0,199.0,0.0,134.0,0.0,202.0,0.0,185.0,0.0,201.0,-397.0,678.0,0.0,170.0,222.0,184.0,207.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Siemens Healthineers,4,IQ_BUS_SEG_OPER_INC_ABS,EUR,0.0,0.0,-799.0,378.0,0.0,0.0,500.0,0.0,0.0,0.0,616.0,501.0,0.0,0.0,574.0,427.0,0.0,0.0,0.0,367.0,475.0,0.0,0.0,490.0,505.0,482.0,0.0,590.0,0.0,502.0,0.0,508.0,0.0,476.0,0.0,498.0,0.0,506.0,0.0,441.0,0.0,436.0,0.0,693.0,0.0,661.0,0.0,704.0,757.0,592.0,0.0,533.0,192.0,567.0,856.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Digital Industries,1,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.1,0.0,0.0,0.0,533.8,342.7,0.0,0.0,427.9,372.4,403.1,0.0,694.6,0.0,406.2,0.0,605.2,0.0,773.5,0.0,739.6,0.0,556.4,0.0,464.6,0.0,666.2,0.0,928.4,0.0,899.9,0.0,972.4,806.5,841.5,0.0,1127.5,1346.2,1155.0,1390.8
XTRA:SIE,Siemens,Industrial Businesses (IB) - Smart Infrastructure,2,IQ_BUS_SEG_OPER_INC_ABS,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.2,0.0,203.8,0.0,382.3,0.0,301.9,0.0,267.8,0.0,463.6,0.0,489.7,0.0,528.8,478.8,572.9,0.0,721.4,819.2,812.2,843.6
